DAT	VICT	JOUR

07/01/72	104	7

17/01/72	1	17

21/01/72	20	21

21/01/72	39	21

26/01/72	27	26

03/02/72	6	34

05/02/72	19	36

11/02/72	23	42

03/03/72	16	63

14/03/72	112	74

19/03/72	30	79

13/04/72	25	104

16/04/72	18	107

18/04/72	43	109

20/04/72	6	111

05/05/72	115	126

08/05/72	7	129

18/05/72	108	139

21/05/72	22	142

29/05/72	9	150

14/06/72	82	166

15/06/72	81	167

18/06/72	118	170

24/06/72	20	176

29/06/72	8	181

29/06/72	5	181

29/06/72	7	181

29/07/72	21	211

29/07/72	17	211

11/08/72	18	224

14/08/72	156	227

16/08/72	28	229

27/08/72	34	240

01/09/72	4	245

10/09/72	11	254

13/09/72	31	257

24/09/72	10	268

02/10/72	9	276

02/10/72	100	276

13/10/72	174	287

21/10/72	37	295

27/10/72	60	301

30/10/72	27	304

04/11/72	35	309

18/11/72	3	323

28/11/72	62	333

03/12/72	155	338

08/12/72	26	343

08/12/72	43	343

20/12/72	10	355

23/12/72	40	358

29/12/72	101	364

22/01/73	176	388

29/01/73	37	395

19/02/73	66	416

21/02/73	106	418

21/02/73	22	418

03/03/73	25	428

05/03/73	68	430

19/03/73	57	444

10/04/73	108	466

05/05/73	1	491

19/05/73	11	505

29/05/73	4	515

29/05/73	9	515

31/05/73	48	517

01/06/73	23	518

20/06/73	27	537

30/06/73	2	547

30/06/73	1	547

11/07/73	123	558

23/07/73	39	570

23/07/73	79	570

31/07/73	89	578

13/08/73	85	591

22/08/73	16	600

27/08/73	42	605

29/08/73	1	607

08/09/73	6	617

11/09/73	41	620

28/09/73	11	637

01/10/73	8	640

13/10/73	28	652

23/10/73	5	662

02/11/73	6	672

03/11/73	106	673

17/11/73	27	687

08/12/73	13	708

16/12/73	65	716

21/12/73	6	721

22/12/73	101	722

01/01/74	38	732

09/01/74	31	740

10/01/74	24	741

17/01/74	14	748

26/01/74	63	757

30/01/74	97	761

22/02/74	7	784

03/03/74	346	793

13/03/74	36	803

15/03/74	15	805

04/04/74	78	825

22/04/74	107	843

27/04/74	118	848

02/05/74	22	853

06/06/74	44	888

27/06/74	19	909

05/08/74	5	948

11/08/74	47	954

12/08/74	24	955

14/08/74	47	957

07/09/74	33	981

08/09/74	88	982

11/09/74	70	985

15/09/74	75	989

29/10/74	32	1033

20/11/74	59	1055

01/12/74	92	1066

04/12/74	191	1069

22/12/74	77	1087

28/12/74	24	1093

29/12/74	32	1094

16/01/75	12	1112

30/01/75	42	1126

03/02/75	33	1130

27/02/75	15	1154

12/03/75	26	1167

23/04/75	4	1209

24/06/75	113	1271

31/07/75	27	1308

31/07/75	28	1308

03/08/75	188	1311

19/08/75	126	1327

30/08/75	10	1338

01/09/75	26	1340

24/09/75	26	1363

27/09/75	5	1366

30/09/75	60	1369

23/10/75	11	1392

30/10/75	74	1399

18/11/75	15	1418

22/11/75	2	1422
